,,Time in (us),,,,,,,,,,,,,
Little Frequency,Big Frequency,Size: 4K,Size: 8K,Size: 16K,Size: 32K,Size: 64K,Size: 128K,Size: 256K,Size: 512K,Size: 1M,Size: 2M,Size: 4M,Size: 8M,Size: 16M,Size: 32M
200,800,3.2901766,3.4809112,1988.506317,4556.894303,9292.459488,20546.38863,38769.29283,78208.63724,153740.7875,320189.2376,718124.5327,1459960.985,2710967.875,5642627.573
200,1200,2.527237,2.7179718,1583.528519,5680.370331,9077.119827,20469.42711,39583.7307,79554.79622,167389.2975,337479.7821,728018.2362,1497633.028,2944294.691,5870801.926
200,1600,2.0503998,2.336502,1724.243164,4642.534256,10703.80211,19538.45024,40658.90312,80618.9537,160064.0774,300606.5845,700043.0107,1303649.378,2754193.83,5299675.226
200,2000,1.8596648,2.384186,1801.395416,4279.851913,9464.597702,20662.06932,41246.89102,88838.4819,169325.6855,352945.6139,735220.9568,1416129.78,2864442.348,5843847.036
600,800,3.242493,3.4332276,1520.156861,3809.213638,7391.97731,14468.38379,29105.28183,64726.06659,108619.3562,221720.314,522982.8358,1034613.943,2014450.026,3983930.159
600,1200,2.4795532,2.4318694,1133.108139,3549.718857,6947.898865,13872.05124,28302.04964,53444.05174,113052.6543,225097.1317,524909.1148,1110449.743,2087435.627,4026718.473
600,1600,2.2888184,2.3365022,1216.316223,5887.889862,7197.666168,14204.69284,27890.06233,56538.48648,105641.3651,224977.3502,490440.0826,953188.8962,1961868.143,3854663.038
600,2000,1.9073488,1.859665,1237.726211,3471.422195,9731.626511,15042.78183,28977.06032,63650.36964,117504.549,236010.6468,489085.1021,1012891.817,1987051.201,4045507.526
1000,1200,2.3841858,2.6702882,1151.752472,3296.327591,6685.733795,14115.71503,30635.83374,53792.52434,119548.1777,228323.8411,489820.8141,1080027.533,1973431.444,4257986.879
1000,1600,2.193451,2.861023,1224.374771,3434.419632,6727.361679,14535.66551,27427.38724,52928.49541,110351.2287,237946.4149,470131.3496,965328.4073,2135082.579,4153940.248
1000,2000,2.0504,2.0980836,1288.318634,3590.44075,6601.428986,13710.40344,28365.51666,65809.58366,112631.464,245158.0524,520772.6002,1100926.876,1910658.836,3941805.267
1400,1600,2.3841858,2.2411346,1215.648651,3376.340866,6359.72023,14783.76389,28244.87686,58556.79512,104552.2213,193374.9676,494284.3914,894930.4581,1980112.076,3653657.15
1400,2000,1.8119814,1.859665,1201.820373,3729.772568,6359.863281,14930.67741,32141.59012,59087.46719,114181.0417,228614.7594,437722.4445,1103005.171,2060157.204,4084889.603
